,Sentiment_Score,Tweet
0,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
1,1,"In that whole #GOPDebate, Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk about counting your chickens."
2,1,"In that whole #GOPDebate, Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk about counting your chickens."
3,2,"""The ridiculous left-wing 'crusade' against Hillary Clinton needs to ""stop:"" https://t.co/4xZ9RirHRO #HillaryClinton #Hilary #Hilary2016 #US"
4,0,Lol why does Fiorina keep bringing Hillary Clinton up? #PlsChill
5,0,"Dans le NYTimes, Hillary Clinton veut une action coordonnée des acteurs du net contre ISIS - https://t.co/Jcck3qxEgO"
6,0,"Dans le NYTimes, Hillary Clinton veut une action coordonnée des acteurs du net contre ISIS - https://t.co/Jcck3qxEgO"
7,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
8,0,"RT @Activista0: #TNTvote
#AINF
#HillaryClinton announces new piece of #ImmigrationReform policy @UNITEDWEDREAM #UniteBlue #tcot #p2
https:/…"
9,-1,RT @irmss90: Clinton liars!Hillary wants to defeat our enemies with EMPATHY. Well they are giving her ?! https://t.co/OTJmWGyVmV https://t.…
10,3,"RT @cmclymer: Well, folks... that was a shit show. Once again, Hillary Clinton's greatest advantage is the existence of the Republican Part…"
11,-3,"#GOPDebate Carly Fiorina: ""that fucking hillary clinton thinks shes so cute with her hair amd her cell phone fuck that bitch"""
12,-3,"#GOPDebate Carly Fiorina: ""that fucking hillary clinton thinks shes so cute with her hair amd her cell phone fuck that bitch"""
13,1,"In that whole #GOPDebate, Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk about counting your chickens."
14,0,"Hillary outlines strategy to fight ISIS influence in US: 

MINNEAPOLIS  Hillary Clinton outlined a five-part p... https://t.co/kF7prGensG"
15,0,Lol why does Fiorina keep bringing Hillary Clinton up? #PlsChill
16,0,Lol why does Fiorina keep bringing Hillary Clinton up? #PlsChill
17,0,"Dans le NYTimes, Hillary Clinton veut une action coordonnée des acteurs du net contre ISIS - https://t.co/Jcck3qxEgO"
18,0,RT @washingtonpost: Donald Trump’s poll dominance has nearly matched Hillary Clinton’s https://t.co/GF2y8pkeii
19,1,RT @NickMarroletti: A mom just swung by our @HillaryforIA Clinton office because her 12 year old daughter is so excited about Hillary! http…
20,0,#latest #news Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
21,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
22,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
23,-3,"#GOPDebate Carly Fiorina: ""that fucking hillary clinton thinks shes so cute with her hair amd her cell phone fuck that bitch"""
24,-2,"RT @hautedamn: Hillary Clinton just showed everyone she has NO IDEA what jihad means.

Maybe because it's not a Spanish word? https://t.co/…"
25,0,"Hillary outlines strategy to fight ISIS influence in US: 

MINNEAPOLIS  Hillary Clinton outlined a five-part p... https://t.co/kF7prGensG"
26,0,"Hillary outlines strategy to fight ISIS influence in US: 

MINNEAPOLIS  Hillary Clinton outlined a five-part p... https://t.co/kF7prGensG"
27,0,Lol why does Fiorina keep bringing Hillary Clinton up? #PlsChill
28,0,"Dans le NYTimes, Hillary Clinton veut une action coordonnée des acteurs du net contre ISIS - https://t.co/Jcck3qxEgO"
29,0,"In that whole , Hillary Clinton got 39 mentions and Bernie Sanders got zero. Talk abou https://t.co/iGgcndPrK9 https://t.co/NFWbt9Jq27"
30,0,#news #latest Hillary's new campaign strategy? Running as Obama-plus: I call Clinton's strategy Obama-plus. She will do ever... …
31,3,"RT @cmclymer: Well, folks... that was a shit show. Once again, Hillary Clinton's greatest advantage is the existence of the Republican Part…"
32,3,"RT @cmclymer: Well, folks... that was a shit show. Once again, Hillary Clinton's greatest advantage is the existence of the Republican Part…"
33,-1,"@AndreaTantaros @LeahR77 Hillary Clinton must have her reasons!  And, reasons are like excuses!  But, her explanation would be in-lightning!"
34,0,RT @hermanbutler1: Hillary Clinton Calls Out Trump And Rubio On Immigration  ABC News - https://t.co/Nhd90W1lHa #TNTweeters #TNTvote #AINF …
35,-2,"RT @hautedamn: Hillary Clinton just showed everyone she has NO IDEA what jihad means.

Maybe because it's not a Spanish word? https://t.co/…"
36,-2,"RT @hautedamn: Hillary Clinton just showed everyone she has NO IDEA what jihad means.

Maybe because it's not a Spanish word? https://t.co/…"
