,Sentiment_Score,Tweet
0,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
1,-5,RT @ForQ2: .@hardball_chris @lonepatrick Why didn't you ask donald trump what is Hawaii investigators found? ? trump is repugnant!
2,0,"RT @muuugn: Donald Trump Says ""China"" https://t.co/yfhP7UJSd8"
3,3,"RT @lovelive_txt: who would be a better president
rt for nico yazawa
fav for donald trump http://t.co/QrtNcqTL3J"
4,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/uLK7ZV6Ns5
5,-1,"@klustout Russia, Pakistan, North Korea and Donald Trump."
6,0,RT @blewthebigone: Retweet if you are 100 PERCENT voting for Donald Trump
7,0,Yuuuuuuuge! Donald Trump's Best GOP Debate Yet https://t.co/ryjJsXrs5K
8,2,"RT @BCAppelbaum: ""Nothing works in this country"" Donald Trump tells an audience of well-fed people in large homes watching on high-definiti…"
9,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
10,2,RT @facists4trump: #RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/B1NwyMHrO9
11,-2,"RT @guardian: Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai https://t.co/RIZHgc4ztL"
12,1,"RT @FrankLuntz: “If Donald Trump is the nominee, Hillary will win 49 states. Maybe 50.”

– Former Obama deputy press secretary @BillBurton …"
13,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
14,0,"Update: Donald trump and his family has been and still are giant pieces of shit. 
that is all"
15,-1,"RT @Trump2016online: Watch LIVE: Donald Trump Rally in Mesa, AZ - Dec 16, 2015 - 12:00 PM (MST) https://t.co/vl4foolIeR #Trump2016"
16,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
17,0,RT @saxhoe: donald trump: make america a fascist ran country by eliminating all rights of the american people https://t.co/IZdx33l1UR
18,-2,"RT @ToriWilson15: Me: why is Donald Trump's hairline is always blurred out on TV?
My dad: he pays them to do that so no one will see the di…"
19,2,"RT @BCAppelbaum: ""Nothing works in this country"" Donald Trump tells an audience of well-fed people in large homes watching on high-definiti…"
20,0,RT @Samstwitch: Here's 45 IMPORTANT Reasons for Americans to Vote for Donald Trump! Please RT! https://t.co/W2A9uI68Hq #Trump2016 https://t…
21,-2,"RT @guardian: Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai https://t.co/RIZHgc4ztL"
22,-2,RT @BBCWorld: Malala Yousafzai condemns Donald Trump's call to ban Muslims from entering US https://t.co/HcEW8ZVECw https://t.co/yXHBXxT6W9
23,-1,"Depat Capres Republik, Donald Trump Vs Jeb Bush Soal ISIS: Seluruh kandidat punya… https://t.co/YgHhog6wsP #wanita"
24,0,RT @thehill: Poll: More people would vote for Darth Vader than Donald Trump https://t.co/CJGY8ii1ZK https://t.co/mm6EyQ7YWe
25,0,Am looking forward to heads exploding all over twitter and all across America when Donald Trump wins the GOP nomination.
26,0,RT @thehill: Poll: More people would vote for Darth Vader than Donald Trump https://t.co/CJGY8ii1ZK https://t.co/mm6EyQ7YWe
27,-1,RT @DieVerseCA: When Donald Trump sends you back to the wrong country https://t.co/flqVjHdQIy
28,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
29,-2,Donald Trump ve interdire l'entrée d musulm aux USA! Ainsi ils réaliseront le rêve de Bin Laden pacifiquementt légalement:US hors d'chez eu…
30,-2,"RT @guardian: Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai https://t.co/RIZHgc4ztL"
31,-1,"""A Losing Debate for Donald Trump"" by ELIZABETH WILLIAMSON via NYT https://t.co/1CyPsxe13f"
32,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
33,2,RT @TheDailyShow: A quick candidate refresher: Donald Trump #GOPDebate https://t.co/kksyJJJYUT
34,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/NT8cf243ko
35,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/WAKDZeuNPR
36,2,RT @CNNMex: Donald Trump es el favorito de 41% de los republicanos en EU https://t.co/sO8Yfnz7en https://t.co/9CusyLBrtP
37,1,RT @jxckhy: When you support Donald Trump and haven't tweeted about Muslims or guns for 5 minutes https://t.co/p289Iq2cLp
38,-2,Donald Trump will a chaos #candidate says fellow Republican Jeb Bush
39,2,RT @TheBandMessiah: Breaking: Donald Trump doesn't know how the internet works https://t.co/MWvpd9CpLF
40,0,Donald Trump Is Staying on Top for Now: The fifth Republican debate was about flexing muscle. That’s what Trump doe… https://t.co/5vxwTA8GSS
41,-2,RT @mitchellvii: Yuuuuuuuge! Donald Trump’s Best GOP Debate Yet https://t.co/hVFsJlZrGL
42,-2,RT @BBCWorld: Malala Yousafzai condemns Donald Trump's call to ban Muslims from entering US https://t.co/HcEW8ZVECw https://t.co/yXHBXxT6W9
43,0,RT @CNNPolitics: .@realDonaldTrump pledges his allegiance to the GOP and rules out an independent bid https://t.co/Y8eFCSiDgR https://t.co/…
44,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/RlmAP8yRu3
45,0,RT @GiZPress: Donald Trump Dominates Twitter on Debate Nights https://t.co/5rOXXQupcA https://t.co/k1yYAya15r
46,1,"RT @WritersofColour: We can call out Donald Trump in America, but what about those just like him in the UK? 
https://t.co/zhTw7pw4lJ https:…"
47,0,Donald Trump Dominates Twitter on Debate Nights - TIME https://t.co/gwfu6WXg0W
48,1,RT @ALLCAPSOFFICE: when donald trump says he wants to build a wall: https://t.co/962t9ez4lg
49,1,RT @SeriesBlogTV: #HouseofCards S4 : #FrankUnderwood face à #DonaldTrump en 2016 ? https://t.co/LOs9Y6Z27D #Netflix https://t.co/ewtgmshLF4
50,0,RT @kcranews: Trump: We must 'penetrate the Internet' https://t.co/D5noabPF1n
51,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
52,-1,RT @BlissTabitha: Donald Trump Squashes Jeb Bush Like a Bug at CNN Debate - YouTube https://t.co/uVzopdovm3
53,-1,RT @benshapiro: It's as if Jeb Bush was born simply so that Donald Trump could beat the living hell out of him on national television.
54,0,Is the popularity of Donald Trump the suicide note of the Republican Party as we know it?
55,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/XpCfcyDk2A
56,1,"RT @DJKhaledSpeaks: Who do you want as your next president?

RT - DJ Khaled
LIKE - Donald Trump https://t.co/Fdc1YwvqLz"
57,-1,RT @briangaar: Donald Trump is basically a YouTube comment section running for president
58,3,"RT @YousefMunayyer: Yes, Donald Trump does not know what the Triad is. How many of his supporters are supporting him because of his nuanced…"
59,-2,"RT @guardian: Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai https://t.co/RIZHgc4ztL"
60,-1,RT @MariOlsdatter: ACLU Ldr Quits aft Threat 2 Shoot Donald Trump Supportrs | Truth Revolt https://t.co/N3eqG3T8kY. @JamieGlazov. The Let's…
61,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
62,1,"""Donald Trump gets schooled on foreign policy in debate https://t.co/yPMAq0UfJb https://t.co/gqpcscPGBO"""
63,-1,Muhammad Alí se le plantó a #DonaldTrump https://t.co/JfYbgmAdQA https://t.co/cbd0zq6faU (vía @OvacionVE)
64,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/PWI1tZjwAG
65,0,RT @ajplus: Hmmm...do we think Donald Trump understands what the internet is? #GOPDebate https://t.co/p9ErogZfsr
66,-2,"RT @guardian: Donald Trump's Muslim views 'tragic and full of hatred', says Malala Yousafzai https://t.co/RIZHgc4ztL"
67,2,Donald Trump es el favorito de 41% de los republicanos en EU https://t.co/RGM6jiu0Sd
68,0,"RT @TIME: Kareem Abdul-Jabbar: ""Donald Trump has more in common with ISIS than America"" https://t.co/cBeaIoaqoO"
69,0,"If Donald Trump and his likes make it to White House,will it mean the begining of waning of US power?"
70,1,RT @washingtonpost: Ted Cruz has been playing the Donald Trump game better than anyone https://t.co/lvTUTBGf9K
71,2,It was boldly clear to me tonight that Donald Trump cares deeply about protecting America - commonsense and wisdom!
72,1,"I like the way Donald Trump says Muslims lol, it more sounds like mooslims ???"
73,3,"RT @lovelive_txt: who would be a better president
rt for nico yazawa
fav for donald trump http://t.co/QrtNcqTL3J"
74,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/86LoDZokOt
75,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/H2LTRZm1KZ
76,-4,RT @MacMiller: Just don't forget about the ridiculously large amount of humans who are down to have Donald Trump be present. There is work …
77,1,"RT @noelledl_: I hope that 10 years from now, I'll be joking with friends, ""Remember when Donald Trump almost got elected?!"" PHEW, that was…"
78,0,RT @TheMelaninPlug: She knew Donald Trump was full of shit years ago. https://t.co/Sgs1YHppIJ
79,0,RT @GiZPress: #DonaldTrump #GOPDEBATE -Donald Trump Dominates Twitter on Debate Nights – But he’s starting… https://t.co/yX8lBAauh3
80,-1,"RT @_karliewilliams: Donald Trump. 
Donald T.
Don T.
Don't."
81,-4,RT @tyriquex: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/W7PnfbFduN
82,0,"RT @nytvideo: Key moments from Tuesday's Republican debate in Las Vegas. https://t.co/jK3uHKiPqN
https://t.co/GZANmXSDbA"
83,-1,Joven inmigrante 'abofeteó' sutilmente al multimillonario Donald Trump https://t.co/w7nINzcsAj via @ActualidadRT
84,-4,RT @MacMiller: Just don't forget about the ridiculously large amount of humans who are down to have Donald Trump be present. There is work …
85,-4,"RT @rubin: Hier soir Donald Trump a proposé de ""fermer"" Internet pour lutter contre le terrorisme.

Il ferait décidément un carton en Franc…"
86,1,#RealDonaldTrump is the greatest business mind: https://t.co/jFeDBWohvb https://t.co/PBCicta03M
87,3,"RT @AJEnglish: ""Donald Trump likes to talk. Or perhaps to be more accurate, he likes people to listen"" https://t.co/ZHdcrmWOMo https://t.co…"
88,-1,Donald Trump and the Epidemic of Voter Attention Deficit Disorder https://t.co/WW8z3Vt1nG #Linkedin
89,-2,RT @BBCWorld: Malala Yousafzai condemns Donald Trump's call to ban Muslims from entering US https://t.co/HcEW8ZVECw https://t.co/yXHBXxT6W9
90,2,"RT @realDonaldTrump: .@ConradMBlack, what an honor to read your piece. As one of the truly great intellects &amp; my friend, I won't forget! ht…"
